Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Hour
640-49-2076,B,Dubai,Normal,Male,Sports and travel,83.78,8,33.512,703.752,10/01/2019,14:49,Cash,670.24,4.761904762,33.512,5,14
595-11-5460,A,Abu Dhabi,Normal,Male,Health and beauty,96.58,2,9.658,202.818,15/03/2019,10:12,Credit card,193.16,4.761904762,9.658,5,10
183-56-6882,C,Sharjah,Member,Female,Food and beverages,99.42,4,19.884,417.564,06/02/2019,10:42,Ewallet,397.68,4.761904762,19.884,8,10
232-16-2483,C,Sharjah,Member,Female,Sports and travel,68.12,1,3.406,71.526,07/01/2019,12:28,Ewallet,68.12,4.761904762,3.406,7,12
129-29-8530,A,Abu Dhabi,Member,Male,Sports and travel,62.62,5,15.655,328.755,10/03/2019,19:15,Ewallet,313.1,4.761904762,15.655,7,19
272-65-1806,A,Abu Dhabi,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,15/01/2019,17:17,Ewallet,547.92,4.761904762,27.396,5,17
333-73-7901,C,Sharjah,Normal,Female,Health and beauty,54.92,8,21.968,461.328,23/03/2019,13:24,Ewallet,439.36,4.761904762,21.968,8,13
777-82-7220,B,Dubai,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,03/03/2019,13:01,Cash,240.96,4.761904762,12.048,8,13
280-35-5823,B,Dubai,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,17/01/2019,18:45,Ewallet,86.72,4.761904762,4.336,8,18
554-53-8700,C,Sharjah,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,02/02/2019,10:11,Cash,112.22,4.761904762,5.611,6,10
354-25-5821,B,Dubai,Member,Female,Sports and travel,69.12,6,20.736,435.456,08/02/2019,13:03,Cash,414.72,4.761904762,20.736,6,13
228-96-1411,C,Sharjah,Member,Female,Food and beverages,98.7,8,39.48,829.08,04/03/2019,20:39,Cash,789.6,4.761904762,39.48,8,20
617-15-4209,C,Sharjah,Member,Male,Health and beauty,15.37,2,1.537,32.277,16/03/2019,19:47,Cash,30.74,4.761904762,1.537,7,19
132-32-9879,B,Dubai,Member,Female,Electronic accessories,93.96,4,18.792,394.632,09/03/2019,18:00,Cash,375.84,4.761904762,18.792,10,18
370-41-7321,B,Dubai,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,27/02/2019,17:24,Credit card,510.21,4.761904762,25.5105,8,17
727-46-3608,B,Dubai,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,06/02/2019,15:47,Ewallet,180.09,4.761904762,9.0045,4,15
669-54-1719,B,Dubai,Member,Male,Electronic accessories,18.93,6,5.679,119.259,10/02/2019,12:45,Credit card,113.58,4.761904762,5.679,8,12
574-22-5561,C,Sharjah,Member,Female,Fashion accessories,82.63,10,41.315,867.615,19/03/2019,17:08,Ewallet,826.3,4.761904762,41.315,8,17
326-78-5178,C,Sharjah,Member,Male,Food and beverages,91.4,7,31.99,671.79,03/02/2019,10:19,Cash,639.8,4.761904762,31.99,10,10
162-48-8011,A,Abu Dhabi,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,10/02/2019,15:10,Cash,222.95,4.761904762,11.1475,8,15
616-24-2851,B,Dubai,Member,Female,Fashion accessories,17.87,4,3.574,75.054,22/03/2019,14:42,Ewallet,71.48,4.761904762,3.574,6,14
778-71-5554,C,Sharjah,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,25/01/2019,15:46,Credit card,15.43,4.761904762,0.7715,6,15
242-55-6721,B,Dubai,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,07/03/2019,11:49,Ewallet,32.32,4.761904762,1.616,6,11
399-46-5918,C,Sharjah,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,28/02/2019,19:01,Cash,687.84,4.761904762,34.392,8,19
106-35-6779,A,Abu Dhabi,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,27/03/2019,11:26,Cash,88.68,4.761904762,4.434,6,11
635-40-6220,A,Abu Dhabi,Normal,Male,Health and beauty,89.6,8,35.84,752.64,07/02/2019,11:28,Ewallet,716.8,4.761904762,35.84,7,11
817-48-8732,A,Abu Dhabi,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,20/01/2019,15:55,Cash,723.5,4.761904762,36.175,5,15
120-06-4233,C,Sharjah,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,12/03/2019,20:36,Cash,183.66,4.761904762,9.183,9,20
285-68-5083,C,Sharjah,Member,Female,Sports and travel,24.74,3,3.711,77.931,15/02/2019,17:47,Credit card,74.22,4.761904762,3.711,10,17
803-83-5989,C,Sharjah,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,24/02/2019,10:55,Ewallet,334.38,4.761904762,16.719,7,10
347-34-2234,B,Dubai,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,03/02/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10,13
199-75-8169,A,Abu Dhabi,Member,Male,Sports and travel,15.81,10,7.905,166.005,06/03/2019,12:27,Credit card,158.1,4.761904762,7.905,9,12
853-23-2453,B,Dubai,Member,Male,Health and beauty,75.74,4,15.148,318.108,14/02/2019,14:35,Cash,302.96,4.761904762,15.148,8,14
877-22-3308,A,Abu Dhabi,Member,Male,Health and beauty,15.87,10,7.935,166.635,13/03/2019,16:40,Cash,158.7,4.761904762,7.935,6,16
838-78-4295,C,Sharjah,Normal,Female,Health and beauty,33.47,2,3.347,70.287,10/02/2019,15:43,Ewallet,66.94,4.761904762,3.347,7,15
109-28-2512,B,Dubai,Member,Female,Fashion accessories,97.61,6,29.283,614.943,07/01/2019,15:01,Ewallet,585.66,4.761904762,29.283,10,15
232-11-3025,A,Abu Dhabi,Normal,Male,Sports and travel,78.77,10,39.385,827.085,24/01/2019,10:04,Cash,787.7,4.761904762,39.385,6,10
382-03-4532,A,Abu Dhabi,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02/02/2019,18:50,Cash,18.33,4.761904762,0.9165,4,18
393-65-2792,C,Sharjah,Normal,Male,Food and beverages,89.48,10,44.74,939.54,06/01/2019,12:46,Credit card,894.8,4.761904762,44.74,10,12
796-12-2025,C,Sharjah,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,11/02/2019,16:19,Cash,621.2,4.761904762,31.06,6,16
510-95-6347,B,Dubai,Member,Female,Food and beverages,48.52,3,7.278,152.838,05/03/2019,18:17,Ewallet,145.56,4.761904762,7.278,4,18
841-35-6630,C,Sharjah,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,09/03/2019,18:21,Cash,455.46,4.761904762,22.773,9,18
287-21-9091,A,Abu Dhabi,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,22/01/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9,10
732-94-0499,C,Sharjah,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,13/01/2019,17:04,Credit card,416.5,4.761904762,20.825,5,17
263-10-3913,C,Sharjah,Member,Male,Fashion accessories,49.04,9,22.068,463.428,09/01/2019,14:20,Credit card,441.36,4.761904762,22.068,9,14
381-20-0914,A,Abu Dhabi,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,12/01/2019,15:48,Credit card,180.09,4.761904762,9.0045,6,15
829-49-1914,C,Sharjah,Member,Female,Food and beverages,78.31,10,39.155,822.255,05/03/2019,16:24,Ewallet,783.1,4.761904762,39.155,7,16
756-01-7507,C,Sharjah,Normal,Female,Health and beauty,20.38,5,5.095,106.995,22/01/2019,18:56,Cash,101.9,4.761904762,5.095,6,18
870-72-4431,C,Sharjah,Normal,Female,Health and beauty,99.19,6,29.757,624.897,21/01/2019,14:42,Credit card,595.14,4.761904762,29.757,6,14
847-38-7188,B,Dubai,Normal,Female,Food and beverages,96.68,3,14.502,304.542,26/01/2019,19:56,Ewallet,290.04,4.761904762,14.502,6,19
480-63-2856,C,Sharjah,Normal,Male,Food and beverages,19.25,8,7.7,161.7,23/01/2019,18:37,Ewallet,154,4.761904762,7.7,7,18
787-56-0757,C,Sharjah,Member,Female,Food and beverages,80.36,4,16.072,337.512,23/02/2019,18:45,Credit card,321.44,4.761904762,16.072,8,18
360-39-5055,C,Sharjah,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,09/03/2019,10:17,Cash,244.55,4.761904762,12.2275,7,10
730-50-9884,C,Sharjah,Normal,Female,Sports and travel,83.06,7,29.071,610.491,05/03/2019,14:31,Ewallet,581.42,4.761904762,29.071,4,14
362-58-8315,C,Sharjah,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,25/03/2019,10:23,Cash,382.6,4.761904762,19.13,10,10
633-44-8566,A,Abu Dhabi,Member,Male,Food and beverages,49.38,7,17.283,362.943,27/03/2019,20:35,Credit card,345.66,4.761904762,17.283,7,20
504-35-8843,A,Abu Dhabi,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,02/01/2019,16:57,Cash,42.47,4.761904762,2.1235,6,16
318-68-5053,B,Dubai,Normal,Female,Health and beauty,76.99,6,23.097,485.037,27/02/2019,17:55,Cash,461.94,4.761904762,23.097,6,17
565-80-5980,C,Sharjah,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,23/01/2019,10:25,Cash,189.52,4.761904762,9.476,7,10
225-32-0908,C,Sharjah,Normal,Female,Sports and travel,44.86,10,22.43,471.03,26/01/2019,19:54,Ewallet,448.6,4.761904762,22.43,8,19
873-51-0671,A,Abu Dhabi,Member,Female,Sports and travel,21.98,7,7.693,161.553,10/01/2019,16:42,Ewallet,153.86,4.761904762,7.693,5,16
152-08-9985,B,Dubai,Member,Male,Health and beauty,64.36,9,28.962,608.202,12/03/2019,12:09,Credit card,579.24,4.761904762,28.962,9,12
512-91-0811,C,Sharjah,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,06/02/2019,20:05,Credit card,89.75,4.761904762,4.4875,7,20
594-34-4444,A,Abu Dhabi,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,08/03/2019,20:38,Ewallet,97.16,4.761904762,4.858,7,20
766-85-7061,B,Dubai,Normal,Male,Health and beauty,87.87,10,43.935,922.635,29/03/2019,10:25,Ewallet,878.7,4.761904762,43.935,5,10
871-39-9221,C,Sharjah,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,09/02/2019,13:11,Cash,74.7,4.761904762,3.735,4,13
865-92-6136,A,Abu Dhabi,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,23/03/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9,10
733-01-9107,B,Dubai,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,05/03/2019,18:14,Cash,496.2,4.761904762,24.81,7,18
163-56-7055,C,Sharjah,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,26/03/2019,19:20,Cash,48.71,4.761904762,2.4355,4,19
189-98-2939,C,Sharjah,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,01/03/2019,13:22,Cash,706.95,4.761904762,35.3475,7,13
551-21-3069,C,Sharjah,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,01/02/2019,11:27,Cash,207.63,4.761904762,10.3815,5,11
212-62-1842,A,Abu Dhabi,Normal,Male,Food and beverages,58.26,6,17.478,367.038,28/03/2019,16:44,Cash,349.56,4.761904762,17.478,10,16
716-39-1409,B,Dubai,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,19/03/2019,18:19,Cash,212.45,4.761904762,10.6225,8,18
704-48-3927,A,Abu Dhabi,Member,Male,Electronic accessories,88.67,10,44.335,931.035,12/01/2019,14:50,Ewallet,886.7,4.761904762,44.335,7,14
628-34-3388,C,Sharjah,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,05/01/2019,20:54,Credit card,164.28,4.761904762,8.214,8,20
630-74-5166,A,Abu Dhabi,Normal,Male,Sports and travel,62.13,6,18.639,391.419,22/03/2019,20:19,Cash,372.78,4.761904762,18.639,7,20
588-01-7461,C,Sharjah,Normal,Female,Food and beverages,33.98,9,15.291,321.111,24/03/2019,10:43,Cash,305.82,4.761904762,15.291,4,10
861-77-0145,C,Sharjah,Member,Male,Electronic accessories,81.97,10,40.985,860.685,03/03/2019,14:30,Cash,819.7,4.761904762,40.985,9,14
479-26-8945,B,Dubai,Member,Female,Sports and travel,16.49,2,1.649,34.629,05/02/2019,11:32,Ewallet,32.98,4.761904762,1.649,5,11
210-67-5886,C,Sharjah,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,05/02/2019,10:41,Credit card,294.63,4.761904762,14.7315,8,10
227-78-1148,B,Dubai,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,15/02/2019,12:44,Cash,509.88,4.761904762,25.494,8,12
645-44-1170,A,Abu Dhabi,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,19/01/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4,20
237-01-6122,C,Sharjah,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,01/02/2019,20:31,Credit card,727.11,4.761904762,36.3555,10,20
225-98-1496,C,Sharjah,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,02/03/2019,13:01,Credit card,81.06,4.761904762,4.053,7,13
291-32-1427,B,Dubai,Member,Male,Fashion accessories,21.94,5,5.485,115.185,05/03/2019,12:29,Ewallet,109.7,4.761904762,5.485,5,12
659-65-8956,B,Dubai,Member,Male,Fashion accessories,51.36,1,2.568,53.928,16/01/2019,15:26,Ewallet,51.36,4.761904762,2.568,5,15
642-32-2990,A,Abu Dhabi,Normal,Female,Food and beverages,10.96,10,5.48,115.08,02/02/2019,20:48,Ewallet,109.6,4.761904762,5.48,6,20
378-24-2715,B,Dubai,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,20/01/2019,20:38,Ewallet,106.88,4.761904762,5.344,4,20
638-60-7125,A,Abu Dhabi,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,14/02/2019,17:03,Credit card,796.48,4.761904762,39.824,5,17
659-36-1684,C,Sharjah,Member,Male,Sports and travel,57.12,7,19.992,419.832,12/01/2019,12:02,Credit card,399.84,4.761904762,19.992,6,12
219-22-9386,B,Dubai,Member,Male,Sports and travel,99.96,9,44.982,944.622,09/03/2019,17:26,Credit card,899.64,4.761904762,44.982,4,17
336-78-2147,C,Sharjah,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,13/03/2019,19:52,Credit card,511.28,4.761904762,25.564,5,19
268-27-6179,B,Dubai,Member,Female,Fashion accessories,56.47,8,22.588,474.348,09/03/2019,14:57,Ewallet,451.76,4.761904762,22.588,7,14
668-90-8900,A,Abu Dhabi,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,10/03/2019,18:44,Credit card,655.83,4.761904762,32.7915,4,18
870-54-3162,A,Abu Dhabi,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,27/01/2019,13:26,Cash,161.25,4.761904762,8.0625,9,13
189-08-9157,C,Sharjah,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,08/01/2019,16:17,Credit card,285.57,4.761904762,14.2785,6,16
663-86-9076,C,Sharjah,Member,Female,Food and beverages,68.54,8,27.416,575.736,08/01/2019,15:57,Ewallet,548.32,4.761904762,27.416,8,15
549-84-7482,B,Dubai,Normal,Female,Sports and travel,90.28,9,40.626,853.146,08/02/2019,11:15,Ewallet,812.52,4.761904762,40.626,7,11
191-10-6171,B,Dubai,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,25/01/2019,13:18,Cash,277.34,4.761904762,13.867,8,13
802-70-5316,A,Abu Dhabi,Member,Female,Sports and travel,92.13,6,27.639,580.419,06/03/2019,20:34,Cash,552.78,4.761904762,27.639,8,20
695-51-0018,B,Dubai,Normal,Female,Sports and travel,34.84,4,6.968,146.328,10/02/2019,18:36,Cash,139.36,4.761904762,6.968,7,18
590-83-4591,B,Dubai,Member,Male,Electronic accessories,87.45,6,26.235,550.935,17/02/2019,14:40,Credit card,524.7,4.761904762,26.235,9,14
483-71-1164,C,Sharjah,Normal,Female,Health and beauty,81.3,6,24.39,512.19,08/03/2019,16:43,Ewallet,487.8,4.761904762,24.39,5,16
597-78-7908,C,Sharjah,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,18/02/2019,19:39,Cash,270.66,4.761904762,13.533,6,19
700-81-1757,A,Abu Dhabi,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,18/01/2019,20:59,Credit card,131.55,4.761904762,6.5775,9,20
354-39-5160,A,Abu Dhabi,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,18/02/2019,15:39,Cash,206.52,4.761904762,10.326,10,15
241-72-9525,B,Dubai,Normal,Male,Sports and travel,51.91,10,25.955,545.055,16/02/2019,12:21,Cash,519.1,4.761904762,25.955,8,12
575-30-8091,A,Abu Dhabi,Normal,Male,Sports and travel,72.5,8,29,609,16/03/2019,19:25,Ewallet,580,4.761904762,29,9,19
731-81-9469,C,Sharjah,Member,Female,Sports and travel,89.8,10,44.9,942.9,23/01/2019,13:00,Credit card,898,4.761904762,44.9,5,13
280-17-4359,C,Sharjah,Member,Male,Health and beauty,90.5,10,45.25,950.25,25/01/2019,13:48,Cash,905,4.761904762,45.25,8,13
338-65-2210,C,Sharjah,Member,Female,Health and beauty,68.6,10,34.3,720.3,05/02/2019,19:57,Cash,686,4.761904762,34.3,9,19
488-25-4221,C,Sharjah,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,22/02/2019,10:36,Credit card,30.41,4.761904762,1.5205,8,10
239-10-7476,A,Abu Dhabi,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,21/01/2019,16:37,Ewallet,467.7,4.761904762,23.385,8,16
458-41-1477,C,Sharjah,Normal,Female,Health and beauty,46.26,6,13.878,291.438,08/03/2019,17:11,Credit card,277.56,4.761904762,13.878,10,17
685-64-1609,A,Abu Dhabi,Member,Female,Fashion accessories,30.14,10,15.07,316.47,10/02/2019,12:28,Ewallet,301.4,4.761904762,15.07,9,12
568-90-5112,C,Sharjah,Normal,Male,Health and beauty,66.14,4,13.228,277.788,19/03/2019,12:46,Credit card,264.56,4.761904762,13.228,6,12
262-47-2794,B,Dubai,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,06/03/2019,15:07,Credit card,574.88,4.761904762,28.744,6,15
238-49-0436,A,Abu Dhabi,Normal,Male,Health and beauty,32.46,8,12.984,272.664,27/03/2019,13:48,Credit card,259.68,4.761904762,12.984,5,13
608-96-3517,B,Dubai,Member,Female,Fashion accessories,91.54,4,18.308,384.468,23/03/2019,19:20,Credit card,366.16,4.761904762,18.308,5,19
584-86-7256,C,Sharjah,Member,Male,Sports and travel,34.56,7,12.096,254.016,11/03/2019,16:07,Credit card,241.92,4.761904762,12.096,7,16
746-94-0204,A,Abu Dhabi,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,29/01/2019,11:56,Credit card,749.16,4.761904762,37.458,7,11
214-17-6927,C,Sharjah,Normal,Female,Food and beverages,16.48,6,4.944,103.824,07/02/2019,18:23,Ewallet,98.88,4.761904762,4.944,10,18
400-89-4171,C,Sharjah,Normal,Female,Sports and travel,80.97,8,32.388,680.148,28/01/2019,13:05,Cash,647.76,4.761904762,32.388,9,13
782-95-9291,A,Abu Dhabi,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,20/02/2019,15:55,Credit card,461.45,4.761904762,23.0725,9,15
279-74-2924,B,Dubai,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,04/01/2019,19:40,Cash,72.17,4.761904762,3.6085,6,19
307-85-2293,B,Dubai,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,07/03/2019,13:58,Ewallet,251.4,4.761904762,12.57,10,13
743-04-1105,B,Dubai,Member,Male,Health and beauty,97.22,9,43.749,918.729,30/03/2019,14:43,Ewallet,874.98,4.761904762,43.749,6,14
423-57-2993,B,Dubai,Normal,Male,Sports and travel,93.39,6,28.017,588.357,27/03/2019,19:18,Ewallet,560.34,4.761904762,28.017,10,19
894-41-5205,C,Sharjah,Normal,Female,Food and beverages,43.18,8,17.272,362.712,19/01/2019,19:39,Credit card,345.44,4.761904762,17.272,8,19
275-28-0149,A,Abu Dhabi,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,25/02/2019,16:21,Cash,63.69,4.761904762,3.1845,6,16
101-17-6199,A,Abu Dhabi,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,13/03/2019,19:44,Credit card,320.53,4.761904762,16.0265,7,19
423-80-0988,C,Sharjah,Normal,Male,Sports and travel,76.4,2,7.64,160.44,30/01/2019,19:42,Ewallet,152.8,4.761904762,7.64,6,19
548-46-9322,B,Dubai,Normal,Male,Food and beverages,39.9,10,19.95,418.95,20/02/2019,15:24,Credit card,399,4.761904762,19.95,6,15
505-02-0892,B,Dubai,Member,Male,Health and beauty,42.57,8,17.028,357.588,25/02/2019,14:12,Ewallet,340.56,4.761904762,17.028,6,14
796-32-9050,A,Abu Dhabi,Normal,Male,Food and beverages,51.28,6,15.384,323.064,19/01/2019,16:31,Cash,307.68,4.761904762,15.384,6,16
105-31-1824,A,Abu Dhabi,Member,Male,Sports and travel,69.52,7,24.332,510.972,01/02/2019,15:10,Credit card,486.64,4.761904762,24.332,8,15
249-42-3782,A,Abu Dhabi,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,03/01/2019,11:36,Ewallet,350.05,4.761904762,17.5025,6,11
316-55-4634,B,Dubai,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,26/01/2019,12:45,Credit card,400.25,4.761904762,20.0125,9,12
733-33-4967,C,Sharjah,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,03/03/2019,19:17,Cash,166.8,4.761904762,8.34,6,19
608-27-6295,B,Dubai,Member,Male,Electronic accessories,52.89,6,15.867,333.207,19/01/2019,17:34,Credit card,317.34,4.761904762,15.867,10,17
414-12-7047,B,Dubai,Normal,Male,Food and beverages,19.79,8,7.916,166.236,18/01/2019,12:04,Ewallet,158.32,4.761904762,7.916,9,12
827-26-2100,A,Abu Dhabi,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,21/03/2019,16:21,Ewallet,304.56,4.761904762,15.228,9,16
175-54-2529,A,Abu Dhabi,Member,Male,Food and beverages,22.17,8,8.868,186.228,03/03/2019,17:01,Credit card,177.36,4.761904762,8.868,10,17
139-52-2867,C,Sharjah,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,13/02/2019,10:50,Credit card,157.57,4.761904762,7.8785,5,10
